DateTime,Open,High,Low,Close,Volume
2025-07-10T08:00:00.000,209.66,210.41,209.66,210.23,-1
2025-07-10T09:00:00.000,210.23,210.34,209.6,209.62,-1
2025-07-10T10:00:00.000,209.62,209.99,209.62,209.82,-1
2025-07-10T11:00:00.000,209.82,210.26,209.82,210.13,-1
2025-07-10T12:00:00.000,210.13,210.23,209.8,210.0,-1
2025-07-10T13:00:00.000,210.0,211.28,209.86,211.27,-1
2025-07-10T14:00:00.000,211.27,213.48,210.7,212.35,-1
2025-07-10T15:00:00.000,212.35,213.31,212.22,212.37,-1
2025-07-10T16:00:00.000,212.37,212.39,211.83,212.0,-1
2025-07-10T17:00:00.000,212.0,213.16,211.93,212.37,-1
2025-07-10T18:00:00.000,212.37,213.14,212.3,212.92,-1
2025-07-10T19:00:00.000,212.92,213.43,212.07,212.41,-1
2025-07-10T20:00:00.000,212.41,212.41,212.1,212.2,-1
2025-07-10T21:00:00.000,212.2,212.33,212.05,212.22,-1
2025-07-10T22:00:00.000,212.22,212.33,212.22,212.31,-1
2025-07-10T23:00:00.000,212.31,212.47,212.3,212.4,-1
2025-07-11T08:00:00.000,210.92,211.5,210.32,210.92,-1
2025-07-11T09:00:00.000,210.92,211.11,210.32,210.36,-1
2025-07-11T10:00:00.000,210.36,210.75,210.25,210.39,-1
2025-07-11T11:00:00.000,210.39,211.25,210.39,211.0,-1
2025-07-11T12:00:00.000,211.0,211.2,210.72,210.94,-1
2025-07-11T13:00:00.000,210.94,211.19,209.85,210.98,-1
2025-07-11T14:00:00.000,210.98,212.12,210.8,210.95,-1
2025-07-11T15:00:00.000,210.95,211.2,210.42,210.66,-1
2025-07-11T16:00:00.000,210.66,211.07,210.45,211.01,-1
2025-07-11T17:00:00.000,211.01,211.28,210.88,211.2,-1
2025-07-11T18:00:00.000,211.2,211.65,211.02,211.13,-1
2025-07-11T19:00:00.000,211.13,211.37,210.62,211.06,-1
2025-07-11T20:00:00.000,211.06,211.06,210.4,210.42,-1
2025-07-11T21:00:00.000,210.42,210.55,210.42,210.5,-1
2025-07-11T22:00:00.000,210.5,210.6,210.45,210.53,-1
2025-07-11T23:00:00.000,210.53,210.6,210.5,210.52,-1
