DateTime,Open,High,Low,Close,Volume
1970-08-23T11:53:26.000+0000,256.51,262.16,256.46,258.86,15381581
1970-08-23T11:53:27.000+0000,256.07,256.2,245.7,253.5,37264538
1970-08-23T11:53:28.000+0000,258.4,259.75,256.53,258.9,20091146
1970-08-23T11:53:29.000+0000,259.0,261.12,256.07,260.49,13580639
1970-08-23T11:53:30.000+0000,259.96,262.19,259.02,260.48,14391530
1970-08-23T11:53:33.000+0000,259.6,260.18,256.66,259.2,17910104
1970-08-23T11:53:34.000+0000,259.11,261.93,257.19,258.83,21882869
1970-08-23T11:53:35.000+0000,258.04,266.56,257.81,266.43,26570993
1970-08-23T11:53:36.000+0000,266.8,267.16,261.27,263.4,23244764
1970-08-23T11:53:37.000+0000,267.07,272.3,266.72,270.23,27891250
