DateTime,Open,High,Low,Close,Volume
2026-04-02T16:30:00.000+0300,254.2,254.8,252.81,253.15,674379
2026-04-02T16:31:00.000+0300,253.25,253.35,252.82,252.92,110635
2026-04-02T16:32:00.000+0300,253.05,253.05,252.3,252.47,114278
2026-04-02T16:33:00.000+0300,252.43,252.79,252.1,252.59,95898
2026-04-02T16:34:00.000+0300,252.58,252.9,252.13,252.16,78180
2026-04-02T16:35:00.000+0300,252.16,252.19,251.51,251.79,130138
2026-04-02T16:36:00.000+0300,251.79,251.81,251.38,251.45,73750
2026-04-02T16:37:00.000+0300,251.46,251.5,251.11,251.44,88811
2026-04-02T16:38:00.000+0300,251.36,251.44,250.9,251.01,86586
2026-04-02T16:39:00.000+0300,251.01,251.1,250.79,250.86,75594
2026-04-02T16:40:00.000+0300,250.88,251.09,250.67,250.82,125234
2026-04-02T16:41:00.000+0300,250.81,251.58,250.79,251.58,129015
2026-04-02T16:42:00.000+0300,251.56,251.59,251.1,251.19,99054
2026-04-02T16:43:00.000+0300,251.19,251.27,250.65,250.73,95890
2026-04-02T16:44:00.000+0300,250.77,250.96,250.67,250.84,39376
2026-04-02T16:45:00.000+0300,250.84,251.18,250.69,251.08,67637
2026-04-02T16:46:00.000+0300,251.07,251.41,250.97,251.29,66073
2026-04-02T16:47:00.000+0300,251.32,251.47,251.25,251.41,54846
2026-04-02T16:48:00.000+0300,251.38,251.71,251.24,251.71,65511
2026-04-02T16:49:00.000+0300,251.73,251.84,251.64,251.68,56827
2026-04-02T16:50:00.000+0300,251.69,252.08,251.69,252.03,74037
2026-04-02T16:51:00.000+0300,251.97,252.19,251.88,252.0,53966
2026-04-02T16:52:00.000+0300,252.0,252.21,251.94,251.98,51587
2026-04-02T16:53:00.000+0300,251.97,252.35,251.94,252.17,58630
2026-04-02T16:54:00.000+0300,252.16,252.54,252.11,252.25,56999
2026-04-02T16:55:00.000+0300,252.21,252.35,252.15,252.33,46633
2026-04-02T16:56:00.000+0300,252.33,252.44,252.17,252.2,46380
2026-04-02T16:57:00.000+0300,252.2,252.42,252.05,252.4,35268
2026-04-02T16:58:00.000+0300,252.36,252.6,252.3,252.54,40594
2026-04-02T16:59:00.000+0300,252.52,252.66,252.47,252.53,38180
2026-04-02T17:00:00.000+0300,252.52,252.81,252.43,252.5,86854
2026-04-02T17:01:00.000+0300,252.52,252.64,252.0,252.0,65297
2026-04-02T17:02:00.000+0300,252.0,252.04,251.77,251.9,62601
2026-04-02T17:03:00.000+0300,251.89,251.91,251.29,251.5,73564
2026-04-02T17:04:00.000+0300,251.5,251.64,251.36,251.42,44022
2026-04-02T17:05:00.000+0300,251.42,251.64,251.19,251.58,44839
2026-04-02T17:06:00.000+0300,251.56,251.93,251.48,251.93,42909
2026-04-02T17:07:00.000+0300,251.92,251.95,251.59,251.61,56689
2026-04-02T17:08:00.000+0300,251.6,251.79,251.43,251.75,47183
2026-04-02T17:09:00.000+0300,251.74,251.79,251.64,251.68,30445
2026-04-02T17:10:00.000+0300,251.68,251.88,251.61,251.85,41044
2026-04-02T17:11:00.000+0300,251.86,252.21,251.86,252.08,54830
2026-04-02T17:12:00.000+0300,252.09,252.14,251.96,252.12,43861
2026-04-02T17:13:00.000+0300,252.1,252.2,251.89,252.03,39508
2026-04-02T17:14:00.000+0300,252.02,252.18,252.0,252.04,30140
2026-04-02T17:15:00.000+0300,252.07,252.25,252.03,252.23,30832
2026-04-02T17:16:00.000+0300,252.21,252.54,252.1,252.15,59015
2026-04-02T17:17:00.000+0300,252.15,252.29,252.12,252.23,23151
2026-04-02T17:18:00.000+0300,252.25,252.25,252.04,252.16,18478
