DateTime,Open,High,Low,Close,Volume
2026-03-06T14:30:00.000+0000,258.63,258.77,256.45,256.5,749762
2026-03-06T14:31:00.000+0000,256.49,256.83,255.91,256.16,162748
2026-03-06T14:32:00.000+0000,256.21,256.59,255.77,256.13,151834
2026-03-06T14:33:00.000+0000,256.12,256.15,255.16,255.41,182652
2026-03-06T14:34:00.000+0000,255.39,255.54,255.2,255.34,115411
2026-03-06T14:35:00.000+0000,255.36,255.45,254.58,254.82,197687
2026-03-06T14:36:00.000+0000,254.83,254.87,254.37,254.71,80557
2026-03-06T14:37:00.000+0000,254.71,254.93,254.59,254.88,83830
2026-03-06T14:38:00.000+0000,254.86,255.34,254.81,255.23,79047
2026-03-06T14:39:00.000+0000,255.18,255.41,255.04,255.06,63841
2026-03-06T14:40:00.000+0000,255.08,255.88,254.99,255.5,73924
2026-03-06T14:41:00.000+0000,255.48,255.73,255.39,255.73,35949
2026-03-06T14:42:00.000+0000,255.68,255.74,255.3,255.36,42190
2026-03-06T14:43:00.000+0000,255.37,255.89,255.35,255.57,88129
2026-03-06T14:44:00.000+0000,255.62,255.77,255.39,255.51,73696
2026-03-06T14:45:00.000+0000,255.48,255.6,255.21,255.33,66311
2026-03-06T14:46:00.000+0000,255.33,255.46,255.09,255.1,128345
2026-03-06T14:47:00.000+0000,255.1,255.14,254.72,254.95,97996
2026-03-06T14:48:00.000+0000,254.93,255.25,254.8,255.22,59884
2026-03-06T14:49:00.000+0000,255.22,255.35,255.02,255.2,37882
2026-03-06T14:50:00.000+0000,255.15,255.44,254.99,255.31,62782
2026-03-06T14:51:00.000+0000,255.34,255.94,255.32,255.77,67955
2026-03-06T14:52:00.000+0000,255.78,256.08,255.72,255.97,102625
2026-03-06T14:53:00.000+0000,256.01,256.24,255.84,255.87,81984
2026-03-06T14:54:00.000+0000,255.87,256.01,255.54,255.72,89917
2026-03-06T14:55:00.000+0000,255.73,255.74,255.43,255.58,62501
2026-03-06T14:56:00.000+0000,255.58,255.73,255.27,255.34,116715
2026-03-06T14:57:00.000+0000,255.36,255.61,255.36,255.49,72381
2026-03-06T14:58:00.000+0000,255.5,255.92,255.48,255.77,50116
2026-03-06T14:59:00.000+0000,255.77,256.04,255.51,255.89,105042
2026-03-06T15:00:00.000+0000,255.89,256.61,255.86,256.29,95369
2026-03-06T15:01:00.000+0000,256.29,256.52,256.09,256.21,66192
2026-03-06T15:02:00.000+0000,256.26,256.56,256.2,256.47,65544
2026-03-06T15:03:00.000+0000,256.45,256.45,256.12,256.2,53467
2026-03-06T15:04:00.000+0000,256.2,256.2,255.85,256.1,55683
2026-03-06T15:05:00.000+0000,256.11,256.16,255.61,255.71,54434
2026-03-06T15:06:00.000+0000,255.69,256.12,255.68,256.1,50090
2026-03-06T15:07:00.000+0000,256.09,256.2,255.81,255.91,46755
2026-03-06T15:08:00.000+0000,255.91,255.98,255.53,255.64,55404
2026-03-06T15:09:00.000+0000,255.61,255.63,255.25,255.28,61737
2026-03-06T15:10:00.000+0000,255.3,255.57,255.19,255.34,41586
2026-03-06T15:11:00.000+0000,255.38,255.95,255.37,255.94,48528
2026-03-06T15:12:00.000+0000,255.96,256.3,255.85,256.27,66423
2026-03-06T15:13:00.000+0000,256.3,256.69,256.29,256.63,95104
2026-03-06T15:14:00.000+0000,256.62,256.69,256.32,256.56,44172
2026-03-06T15:15:00.000+0000,256.59,256.77,256.49,256.61,37364
2026-03-06T15:16:00.000+0000,256.6,256.73,256.34,256.37,31857
2026-03-06T15:17:00.000+0000,256.36,256.43,256.21,256.31,34718
2026-03-06T15:18:00.000+0000,256.34,256.46,256.2,256.35,59492
2026-03-06T15:19:00.000+0000,256.35,256.57,256.35,256.5,33624
2026-03-06T15:20:00.000+0000,256.51,256.67,256.41,256.44,58503
2026-03-06T15:21:00.000+0000,256.42,256.56,256.39,256.54,28436
2026-03-06T15:22:00.000+0000,256.58,256.73,256.49,256.73,28364
2026-03-06T15:23:00.000+0000,256.77,257.07,256.71,256.74,69426
2026-03-06T15:24:00.000+0000,256.74,256.91,256.67,256.69,37084
2026-03-06T15:25:00.000+0000,256.65,256.8,256.58,256.73,31289
2026-03-06T15:26:00.000+0000,256.77,256.82,256.51,256.51,27283
2026-03-06T15:27:00.000+0000,256.55,256.78,256.5,256.5,36946
2026-03-06T15:28:00.000+0000,256.55,256.58,256.32,256.37,29040
2026-03-06T15:29:00.000+0000,256.4,256.76,256.36,256.7,25389
2026-03-06T15:30:00.000+0000,256.69,256.8,256.61,256.69,51823
2026-03-06T15:31:00.000+0000,256.71,257.06,256.65,256.93,67545
2026-03-06T15:32:00.000+0000,256.91,257.06,256.83,257.01,39549
2026-03-06T15:33:00.000+0000,256.98,257.0,256.78,256.9,44838
2026-03-06T15:34:00.000+0000,256.9,256.98,256.81,256.95,39884
2026-03-06T15:35:00.000+0000,256.97,257.05,256.8,256.96,35872
2026-03-06T15:36:00.000+0000,256.97,257.09,256.91,257.07,24606
2026-03-06T15:37:00.000+0000,257.07,257.2,257.03,257.13,50994
2026-03-06T15:38:00.000+0000,257.12,257.26,257.02,257.23,46570
2026-03-06T15:39:00.000+0000,257.21,257.23,257.06,257.16,24906
2026-03-06T15:40:00.000+0000,257.16,257.21,257.02,257.07,31447
2026-03-06T15:41:00.000+0000,257.09,257.1,256.9,257.0,35142
2026-03-06T15:42:00.000+0000,257.01,257.09,256.84,257.01,31606
2026-03-06T15:43:00.000+0000,257.02,257.05,256.72,256.79,38050
2026-03-06T15:44:00.000+0000,256.8,256.93,256.79,256.86,25358
2026-03-06T15:45:00.000+0000,256.87,257.07,256.82,256.96,36613
2026-03-06T15:46:00.000+0000,256.92,257.04,256.86,257.0,31192
2026-03-06T15:47:00.000+0000,257.0,257.02,256.85,256.88,25176
2026-03-06T15:48:00.000+0000,256.85,257.05,256.84,257.02,12408
2026-03-06T15:49:00.000+0000,257.04,257.04,256.8,256.89,31249
2026-03-06T15:50:00.000+0000,256.91,256.91,256.51,256.52,35791
2026-03-06T15:51:00.000+0000,256.51,256.6,256.29,256.32,28349
2026-03-06T15:52:00.000+0000,256.34,256.39,256.08,256.29,36668
2026-03-06T15:53:00.000+0000,256.28,256.54,256.27,256.48,32311
2026-03-06T15:54:00.000+0000,256.5,256.63,256.4,256.61,27470
2026-03-06T15:55:00.000+0000,256.62,257.29,256.62,257.25,36364
2026-03-06T15:56:00.000+0000,257.28,257.54,257.23,257.4,42396
2026-03-06T15:57:00.000+0000,257.39,257.57,257.36,257.44,46350
2026-03-06T15:58:00.000+0000,257.44,257.56,257.3,257.38,33964
2026-03-06T15:59:00.000+0000,257.35,257.51,257.28,257.51,51662
2026-03-06T16:00:00.000+0000,257.52,257.79,257.4,257.78,48644
2026-03-06T16:01:00.000+0000,257.79,257.8,257.65,257.67,58395
2026-03-06T16:02:00.000+0000,257.65,257.71,257.52,257.62,30983
2026-03-06T16:03:00.000+0000,257.69,257.86,257.66,257.81,35989
2026-03-06T16:04:00.000+0000,257.86,257.95,257.78,257.88,24962
2026-03-06T16:05:00.000+0000,257.88,257.92,257.78,257.79,26167
2026-03-06T16:06:00.000+0000,257.8,257.86,257.53,257.55,40646
2026-03-06T16:07:00.000+0000,257.58,257.66,257.54,257.61,17854
2026-03-06T16:08:00.000+0000,257.62,257.66,257.5,257.5,32749
2026-03-06T16:09:00.000+0000,257.51,257.76,257.5,257.58,21000
2026-03-06T16:10:00.000+0000,257.55,257.56,257.43,257.46,29149
2026-03-06T16:11:00.000+0000,257.43,257.44,257.07,257.09,30942
2026-03-06T16:12:00.000+0000,257.11,257.15,257.04,257.08,25964
2026-03-06T16:13:00.000+0000,257.09,257.26,257.06,257.17,24436
2026-03-06T16:14:00.000+0000,257.16,257.21,257.07,257.18,23794
2026-03-06T16:15:00.000+0000,257.18,257.23,257.05,257.19,22978
2026-03-06T16:16:00.000+0000,257.25,257.53,257.24,257.28,32784
2026-03-06T16:17:00.000+0000,257.31,257.4,257.05,257.12,26453
2026-03-06T16:18:00.000+0000,257.18,257.39,257.17,257.38,23753
2026-03-06T16:19:00.000+0000,257.42,257.58,257.33,257.58,25357
2026-03-06T16:20:00.000+0000,257.62,257.65,257.31,257.44,25946
2026-03-06T16:21:00.000+0000,257.44,257.45,257.14,257.19,25267
2026-03-06T16:22:00.000+0000,257.18,257.25,256.94,256.97,29033
2026-03-06T16:23:00.000+0000,256.95,257.05,256.91,257.01,17669
2026-03-06T16:24:00.000+0000,257.01,257.29,256.88,257.28,40448
2026-03-06T16:25:00.000+0000,257.28,257.44,257.23,257.25,35177
2026-03-06T16:26:00.000+0000,257.29,257.29,257.13,257.21,36976
2026-03-06T16:27:00.000+0000,257.24,257.29,257.01,257.04,23674
2026-03-06T16:28:00.000+0000,257.07,257.18,257.03,257.16,25398
2026-03-06T16:29:00.000+0000,257.15,257.29,257.08,257.27,26903
